,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KOL Activities Tracking Chart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,No.,Country,KOL,Task,Q1,,,,,,,,,,,,,,,Q2,,,,,,,,,,,,,,,Q3,,,,,,,,,,,,,,,Q4,,,,,,,,,,,,,,,
,,,,,,Jan,,,,,Feb,,,,,Mar,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,,
,,,,,,1w,2w,3w,4w,5w,6w,7w,8w,9w,10w,11w,12w,13w,14w,15w,16w,17w,18w,19w,20w,21w,22w,23w,24w,25w,26w,27w,28w,29w,30w,31w,32w,33w,34w,35w,36w,37w,38w,39w,40w,41w,42w,43w,44w,45w,46w,47w,48w,49w,50w,51w,52w,53w,54w,55w,56w,57w,58w,59w,60w,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2 ,Europe,UK,Dr. Robert Jung,offline lecture per quarter,,,,,,,,,,,,,,,,,Contract,,,,,,Lecture,,,,,,,,"MOS 
Test",,,,,,,,i900M Test,,,,"Auraview 
Test",,,,,,Lecture,,,,,,,,,,,,
,3 ,,Sweden,Dr. Filip Rebelo,"3 offline lecture, 1 Article case",,,,,,,,,,,,,,,,,Contract,"i900c 
shipment",,,"Contents 
creation",,,Lecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8 ,,France,Dr. Alexandre Richard,"1 Webinar, ADF Lecture, social acitivies",,,,,,,,,,,,,,,,,,,Contract,,,,,"i900
shipment",,,,,,,,,,,,i900M Test,,,,,,,,,,,,,,,,,,,Lecture,,,,,"case
report",
,15 ,,France,Dr. Gary Finelle,"R&D Feedback, Case, Contents creation
Academy lectures",,,,,,,,"case 
report",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract ,,,,,,,,,,,Lecture,,,,,,
,16 ,,France,Dr. Pierre Leclercq,"R&D Feedback, Case, Contents creation
Academy lectures",,,,,,,,"case 
report",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract ,,,,,,,,,,,Lecture,,,,,"case 
report",
,4 ,,France,Dr. Emmanuel Bocquet,"3 Cases, ADF speaker
1 Webinar, Social engagement",,,,,,,,,,,,,,,,,Contract,"i900c
shipment",,,,,,,,,,,,,"MOS 
Test",,,,,,,,,,,,,,"Contents 
creation",,,,,,,,,,Lecture,,,,,"case 
report",
,5 ,,Germany,Dr. Oguz Emeklibas (Nahit),"1 Cases, 1 Lecture, Social Media",,,,,,,,,,,,,,,,,Contract,,,,Lecture,Article,,,,,,,,Contract,,,,,,,i900M Test,,,,Testimonial,,,,"Contents 
creation",,,,Lecture,,,,,Lecture,,,,,,,
,17 ,,Germany,Dr. Frank Maier,"R&D Feedback, Case, Contents creation
Academy lectures",,,"case 
report",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract ,,,,,,,,,,,,,,,,
,18 ,,Germany,Dr. Simon Priess,"R&D Feedback, Case, Contents creation
Academy lectures",,,"case 
report",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract ,,,,Contents Creation,,,,,,,,,,,,
,6 ,,Lithuania,Dr. Justinas Pletkus,TBD By dylam,,,,,,,,,,,,,,,,,,,,,,,,Contract,,,,,,"i900c 
shipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7 ,,Romania,Dr. Gabriel Musetescu,"1Hands-on course, 1 Leture, 1 Webinar",,,,,,,,,,,,,,,,,,,,,,Lecture,,Contract,,,,,,"i900c 
shipment",,,,i900M Test,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9 ,,Greece,Dr. Michalis Diomataris,"Lectures at Conference, 1 Article
1 Academic content creation",,,,,,,,"case 
report",,,,,,,,,,,,,,,,,,,,,,,Contract,,"i900c
shipment",,,,i900M Test,Lecture,,"Contents 
creation",,Testimonial,,,,,,,,,,,,,,,,,,,
,14 ,,Poland,Dr. Grzegorz Wasiluk,"R&D Feedback, Case, Contents creation
Academy lectures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract ,,,,,,,,,,,,,,,,,,,
,10 ,,Poland,Dr.Łukasz Zadrożny,3 Lectures / T-series case report,,,,,,,,,,,,,,"case 
report",,,,,,,,,,,,,,,,,,Contract,"i900c
shipment",,,,,,,,,"T710
shipment",Lecture,,,,,Lecture,,,,,,Lecture,,,,,,,
,11 ,,Ukraine,Dr.Anton Sadovnyshyi,"lecture per quarter, Social engagement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract,,"MOS 
Test",,,,,,,,Contents Creation,Contents Creation,"i900M
shipment",,i900M Test,Lecture,,,,,,,,,,,,,,
,12 ,,Ukraine,Dr.Yevhenii Sluchevskyi,"lecture per quarter, Social engagement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract,,"MOS 
Test",,,,,Lecture,,,,,"i900M
shipment",Lecture,i900M Test,Lecture,,,,,,,,,,,,,,
,13 ,,Estonia,Dr. Veiko Vengerfeldt,"R&D Feedback, Case, Contents creation
Academy lectures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract,,,"i900c
shipment",,,Contents Creation,,,,Lecture,,,,,,,,,,,,,"case 
report",
,1 ,,Italy,Dr. Marco Tallarico,Clinical case report,,Clinical case report,,,,,,,,,Contract,,,,,,"i900 
shipment",,,,,,,,,,,,,,,"Clinical
Paper",,,,i900M Test,,,,,,,,,,,Lecture,,,,,,,,,,,,,,
,19 ,,Italy,Dr. Antonino Cacioppo,"R&D Feedback, Case, Contents creation
Academy lectures",,,,,,,,,,,,,"case 
report",,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract ,,,,,,,,,Contents Creation,,,,,,,,,,,
,20 ,APAC,Korea,Dr. Janghyun Paek,"R&D Feedback, Case, Contents creation
Academy lectures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract ,,i900M Test,,,,,,,,,,,,,,,,
,21 ,,Mongolia,Dr. Sapaar Bayarmagnai,"Hands on training - bimontly
Training at clinic - monthly / event lecture",,,,,,,,,,,,,,,,,,Contract,"i900c
shipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lecture,,,,,,,,,,,,,
,22 ,,India,Dr. Swapnil Pande,"R&D Feedback, Case, Contents creation
Academy lectures (Lecture per quarter)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract ,Lecture,,,,,,,,,,,,,,,,,,
,23 ,,India,Dr. Priyam Aditya,"R&D Feedback, Case, Contents creation
Academy lectures (Lecture per quarter)",,,,,,,,,,,,,,,,,,,,,,,,,Lecture,,,,,,,Contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24 ,,New Zealand,Dr. Ahmad Al Hassiny,"Product Review Project (i900c, i900m)
1 Article, R&D Feedback",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract,Lecture,,,Article,,,,,,Contents Creation,,Contents Creation,,Contents Creation,,Contents Creation,,,,,,,,
,25 ,,Thailand,Dr.Manapat Thaveeprungsiporn,"Lectures at Conference, 1 Article
1 Academic content creation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract ,,"MOS 
Test",,,,,"Contents 
creation","i900c
shipment",,,,Lecture,,,,,,,,,,,,,,,,,
,26 ,,Australia,Dr. Derek Mahonny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract ,,,,,,,,,,,,,"case 
report",
,27 ,,Australia,Dr. Kenneth Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract ,,,,,,,,,,,,,,,,
,28 ,,Uzbekistan,Dr. Sardor Mirakhmedov,"R&D Feedback, Case, Contents creation
Academy lectures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract ,,,,,,,,"i900c
shipment",Contents Creation,,,,,,,,,,,,,,
,29 ,MEA,Egypt,Dr. Sameh Shaaban,"2 Cases, 2 offline lecture, R&D report
Social engagement",,,,,,,,,,,,,,,,,,Contract,Lecture,"i900c
shipment",,,,,Lecture,,,,,,,,,,,,Lecture,Testimonial,,,,,,,,,,,,,,,,,,,,,,"case 
report",
,30 ,,Egypt,Dr. Amr elkhadem ,"2 Cases, 2 offline lecture, R&D report
Social engagement",,,,,,,,,,,,,,,,,,Contract,Lecture,"i900c
shipment",,,,,,,,,,,,,,,,,Lecture,Testimonial,,,,,,,,,,"Clinical
Paper",Lecture,,,,,,,,,,,,
,31 ,,Egypt,Dr. Mohamed elashry,"2 Cases, 2 offline lecture, University activities, Social engagement",,,,,,,,,,,,,,,,,,Contract,Lecture,"i900c
shipment",,,,,"Clinical
Paper",,,,,,,,,,,,Lecture,Testimonial,,,,,,,,,,,,,,,,,,,,,,,
,32 ,,Iraq,Dr. Arass Jalal Noori,"R&D Feedback, Case, Contents creation
Academy lectures (Lecture per quarter)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract ,,,,,,,,,,,,,
,33 ,,Iraq,Dr. Rekar Ismail ,"R&D Feedback, Case, Contents creation
Academy lectures (Lecture per quarter)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contract ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
